run,seed,i,j,true_name,selected,hit,tau_hat,start
0,3000,0,0,Student,Student,1,0.2452,sweep:CubSec/Student
0,3000,0,1,CubSec,CubSec,1,0.1530,sweep:CubSec/Student
0,3000,1,0,CubSec,Student,0,0.2322,sweep:CubSec/Student
0,3000,1,1,Clayton,Clayton,1,0.1480,sweep:CubSec/Student
1,3001,0,0,Student,Student,1,0.1972,sweep:CubSec/Student
1,3001,0,1,CubSec,CubSec,1,0.1483,sweep:CubSec/Student
1,3001,1,0,CubSec,GH,0,0.1356,sweep:CubSec/Student
1,3001,1,1,Clayton,Clayton,1,0.2092,sweep:CubSec/Student
2,3002,0,0,Student,Student,1,0.2929,sweep:Student/Clayton
2,3002,0,1,CubSec,CubSec,1,0.0984,sweep:Student/Clayton
2,3002,1,0,CubSec,CubSec,1,0.0728,sweep:Student/Clayton
2,3002,1,1,Clayton,Clayton,1,0.2192,sweep:Student/Clayton
3,3003,0,0,Student,Student,1,0.3023,sweep:Student/CubSec
3,3003,0,1,CubSec,CubSec,1,0.0934,sweep:Student/CubSec
3,3003,1,0,CubSec,CubSec,1,0.1650,sweep:Student/CubSec
3,3003,1,1,Clayton,Clayton,1,0.2094,sweep:Student/CubSec
4,3004,0,0,Student,Student,1,0.2162,indep
4,3004,0,1,CubSec,CubSec,1,0.1234,indep
4,3004,1,0,CubSec,CubSec,1,0.1367,indep
4,3004,1,1,Clayton,Clayton,1,0.1307,indep
5,3005,0,0,Student,Clayton,0,0.2412,sweep:Clayton/Student
5,3005,0,1,CubSec,CubSec,1,0.1650,sweep:Clayton/Student
5,3005,1,0,CubSec,Student,0,0.1815,sweep:Clayton/Student
5,3005,1,1,Clayton,Clayton,1,0.2454,sweep:Clayton/Student
6,3006,0,0,Student,Student,1,0.2358,sweep:Student/Clayton
6,3006,0,1,CubSec,CubSec,1,0.1650,sweep:Student/Clayton
6,3006,1,0,CubSec,CubSec,1,0.0855,sweep:Student/Clayton
6,3006,1,1,Clayton,Clayton,1,0.2462,sweep:Student/Clayton
7,3007,0,0,Student,Student,1,0.2571,indep
7,3007,0,1,CubSec,GH,0,0.0929,indep
7,3007,1,0,CubSec,CubSec,1,0.1284,indep
